Title,Production Budget,Release Date
The Lost Weekend,"$1,250,000",Dec 31 1944
Le petit Nicolas,"$30,000,000",Feb 19 2010
Logan's Run,"$7,000,000",Dec 31 1975
Betty Fisher et autres histoires,"$7,500,000",Sep 13 2002
Light Sleeper,"$5,000,000",Sep 21 1992
Little Shop of Horrors,"$30,000,000",Dec 19 1986
Lone Star,"$5,000,000",Jun 21 1996
Latter Days,"$850,000",Jan 30 2004
Lethal Weapon,"$15,000,000",Mar 06 1987
Lethal Weapon 3,"$35,000,000",May 15 1992
The Last Time I Committed Suicide,"$4,000,000",Jun 20 1997
Little Voice,"$6,000,000",Dec 04 1998
The Last Temptation of Christ,"$7,000,000",Aug 12 1988
License to Kill,"$42,000,000",Jul 14 1989
Cama adentro,"$800,000",Jul 18 2007
Leaving Las Vegas,"$4,000,000",Oct 27 1995
The Lawnmower Man,"$10,000,000",Mar 06 1992
Lone Wolf McQuade,"$5,000,000",Apr 15 1983
Little Women,"$15,000,000",Dec 21 1994
Lawrence of Arabia,"$15,000,000",Dec 16 1962
Menace II Society,"$3,500,000",May 26 1993
Much Ado About Nothing,"$8,000,000",May 07 1993
Major Dundee,"$3,800,000",Apr 07 1965
The Magic Flute,"$27,000,000",Dec 31 1969
Mata Hari,"$558,000",Dec 31 1930
Malcolm X,"$35,000,000",Nov 18 1992
Maniac,"$350,000",Dec 31 1979
Mary Poppins,"$6,000,000",Aug 26 1964
Mary Reilly,"$47,000,000",Feb 23 1996
Maximum Risk,"$25,000,000",Sep 13 1996
M*A*S*H,"$3,500,000",Jan 01 1970
The Mask,"$18,000,000",Jul 29 1994
Mars Attacks!,"$80,000,000",Dec 13 1996
Mo' Better Blues,"$10,000,000",Aug 03 1990
Moby Dick,"$4,500,000",Dec 31 1955
My Beautiful Laundrette,"$400,000",Apr 01 1986
Michael Jordan to the MAX,"$7,000,000",May 05 2000
Michael Collins,"$25,000,000",Oct 11 1996
My Cousin Vinny,"$11,000,000",Mar 13 1992
Medicine Man,"$40,000,000",Feb 07 1992
Madadayo,"$11,900,000",Mar 20 1998
Modern Problems,"$8,000,000",Dec 25 1981
Amadeus,"$18,000,000",Sep 19 1984
Modern Times,"$1,500,000",Feb 05 2036
The Mighty Ducks,"$10,000,000",Oct 02 1992
A Man for All Seasons,"$3,900,000",Dec 12 1966
Megaforce,"$18,000,000",Jun 25 1982
The Mirror Has Two Faces,"$42,000,000",Nov 15 1996
Midnight Cowboy,"$3,600,000",May 25 1969
Midnight Run,"$30,000,000",Jul 20 1988
Major League,"$11,000,000",Apr 07 1989
The Molly Maguires,"$11,000,000",Dec 31 1969
Malevolence,"$200,000",Sep 10 2004
Mad Max 2: The Road Warrior,"$2,000,000",May 21 1982
It's a Mad Mad Mad Mad World,"$9,400,000",Nov 07 1963
Mad Max,"$200,000",Mar 21 1980
Mad Max Beyond Thunderdome,"$10,000,000",Jul 10 1985
The Man From Snowy River,"$5,000,000",Nov 03 1982
Men of War,"$6,000,000",Dec 19 1995
Monty Python and the Holy Grail,"$400,000",May 10 1975
Men with Brooms,"$7,500,000",Mar 08 2002
Mutiny on The Bounty,"$19,000,000",Nov 08 1962
Mommie Dearest,"$5,000,000",Sep 18 1981
March or Die,"$7,000,000",Aug 05 1977
Memoirs of an Invisible Man,"$40,000,000",Feb 28 1992
The Mongol King,"$7,000",Dec 31 2003
My Own Private Idaho,"$2,500,000",Sep 29 1991
Moonraker,"$31,000,000",Jun 29 1979
Money Train,"$68,000,000",Nov 22 1995
Metropolitan,"$430,000",Aug 03 1990
The Life of Brian,"$4,000,000",Aug 17 1979
Mallrats,"$6,100,000",Oct 20 1995
American Desi,"$250,000",Mar 16 2001
Mrs. Winterbourne,"$25,000,000",Apr 19 1996
Mrs. Doubtfire,"$25,000,000",Nov 24 1993
Mr. Smith Goes To Washington,"$1,500,000",Dec 31 1938
Mortal Kombat,"$20,000,000",Aug 18 1995
Frankenstein,"$45,000,000",Nov 04 1994
The Misfits,"$4,000,000",Dec 31 1960
My Stepmother Is an Alien,"$16,000,000",Dec 09 1988
The Man Who Shot Liberty Valance,"$3,200,000",Jan 01 1962
Mission: Impossible,"$80,000,000",May 21 1996
Meteor,"$16,000,000",Dec 31 1978
Multiplicity,"$45,000,000",Jul 17 1996
Mutual Appreciation,"$30,000",Sep 01 2006
The Muppet Christmas Carol,"$12,000,000",Dec 11 1992
The Man with the Golden Gun,"$7,000,000",Dec 20 1974
My Fair Lady,"$17,000,000",Oct 22 1964
Mystic Pizza,"$6,000,000",Oct 21 1988
Namastey London,"$8,400,000",Mar 23 2007
Naturally Native,"$700,000",Oct 08 1999
Inchon,"$46,000,000",Sep 17 1982
Indiana Jones and the Temple of Doom,"$28,000,000",May 23 1984
Indiana Jones and the Last Crusade,"$48,000,000",May 24 1989
Neal n' Nikki,"$1,300,000",Dec 09 2005
A Nightmare on Elm Street 4: The Dream Master,"$13,000,000",Aug 19 1988
"Next Stop, Wonderland","$1,000,000",Aug 21 1998
Nighthawks,"$5,000,000",Apr 10 1981
The English Patient,"$35,000,000",Nov 15 1996
Niagara,"$1,250,000",Jan 21 1953
The Naked Gun 2Ω: The Smell of Fear,"$23,000,000",Jun 28 1991
Naked Gun 33 1/3: The Final Insult,"$30,000,000",Mar 18 1994
National Lampoon's Animal House,"$3,000,000",Jul 28 1978
Night of the Living Dead,"$114,000",Oct 01 1968
No Looking Back,"$5,000,000",Mar 27 1998
The Nun's Story,"$3,500,000",Dec 31 1958
A Nightmare on Elm Street,"$1,800,000",Nov 09 1984
A Nightmare On Elm Street Part 2: Freddy's Revenge,"$3,000,000",Nov 01 1985
A Nightmare On Elm Street 3: Dream Warriors,"$5,000,000",Feb 27 1987
A Nightmare On Elm Street: The Dream Child,"$6,000,000",Aug 11 1989
Freddy's Dead: The Final Nightmare,"$5,000,000",Sep 13 1991
Wes Craven's New Nightmare,"$8,000,000",Oct 14 1994
Night of the Living Dead,"$4,200,000",Oct 19 1990
Notorious,"$2,000,000",Dec 31 1945
Never Say Never Again,"$36,000,000",Oct 07 1983
The Nutcracker,"$19,000,000",Dec 31 1992
Nowhere to Run,"$15,000,000",Jan 15 1993
Interview with the Vampire: The Vampire Chronicles,"$50,000,000",Nov 11 1994
The Nutty Professor,"$55,000,000",Jun 28 1996
Die Unendliche Geschichte,"$27,000,000",Jul 20 1984
Interview with the Assassin,"$750,000",Nov 15 2002
Nixon,"$45,000,000",Dec 20 1995
"New York, New York","$14,000,000",Jun 22 1977
New York Stories,"$15,000,000",Mar 01 1989
Obitaemyy ostrov,"$36,500,000",Jan 01 2009
Octopussy,"$27,500,000",Jun 10 1983
On Deadly Ground,"$50,000,000",Feb 18 1994
One Flew Over the Cuckoo's Nest,"$4,400,000",Nov 19 1975
The Offspring,"$1,100,000",Sep 04 1987
On Her Majesty's Secret Service,"$8,000,000",Dec 18 1969
The Omen,"$2,800,000",Jun 25 1976
The Omega Code,"$7,200,000",Oct 15 1999
Out of Africa,"$31,000,000",Dec 18 1985
Out of the Dark,"$1,600,000",Mar 11 1989
Ordinary People,"$6,000,000",Sep 19 1980
The Other Side of Heaven,"$7,000,000",Dec 14 2001
On the Down Low,"$10,000",May 28 2004
Othello,"$11,000,000",Dec 14 1995
On the Outs,"$250,000",Jul 15 2005
On the Waterfront,"$910,000",Jul 28 1954
Outbreak,"$50,000,000",Mar 10 1995
The Outsiders,"$10,000,000",Mar 25 1983
The Oxford Murders,"$10,000,000",Aug 06 2010
Police Academy,"$4,500,000",Mar 23 1984
Police Academy 7: Mission to Moscow,"$10,000,000",Aug 26 1994
Paa,"$4,300,000",Dec 04 2009
Pale Rider,"$6,900,000",Jun 28 1985
Patriot Games,"$45,000,000",Jun 05 1992
The Pallbearer,"$8,000,000",May 03 1996
Pocahontas,"$55,000,000",Jun 10 1995
Pocketful of Miracles,"$2,900,000",Dec 31 1960
PCU,"$9,000,000",Apr 29 1994
Pete's Dragon,"$10,000,000",Nov 03 1977
Pat Garrett and Billy the Kid,"$4,638,783",May 23 1973
Poltergeist,"$10,700,000",Jun 04 1982
Poltergeist III,"$9,500,000",Jun 10 1988
Phantasm II,"$3,000,000",Jul 08 1988
Phenomenon,"$32,000,000",Jul 05 1996
Philadelphia,"$26,000,000",Dec 22 1993
The Phantom,"$45,000,000",Jun 07 1996
Pi,"$68,000",Jul 10 1998
Pink Flamingos,"$12,000",Apr 11 1997
The Pirate,"$3,700,000",Dec 31 1947
The Planet of the Apes,"$5,800,000",Feb 08 1968
The Player,"$8,000,000",Apr 10 1992
Apollo 13,"$65,000,000",Jun 30 1995
Platoon,"$6,000,000",Dec 19 1986
Panic,"$1,000,000",Dec 01 2000
The Adventures of Pinocchio,"$25,000,000",Jul 26 1996
Pandora's Box,"$800,000",Aug 09 2002
Pink Narcissus,"$27,000",Dec 24 1999
Penitentiary,"$100,000",May 10 1980
The Pursuit of D.B. Cooper,"$12,000,000",Nov 13 1981
Poetic Justice,"$14,000,000",Jul 23 1993
Porky's,"$4,000,000",Mar 19 1982
"Peace, Propaganda and the Promised Land","$70,000",Jan 28 2005
Popeye,"$20,000,000",Dec 12 1980
Predator 2,"$35,000,000",Nov 21 1990
Predator,"$18,000,000",Jun 12 1987
The Princess Bride,"$15,000,000",Sep 25 1987
Prison,"$4,000,000",Mar 04 1988
LÈon,"$16,000,000",Nov 18 1994
Prophecy,"$12,000,000",Jun 15 1979
The Prince of Tides,"$30,000,000",Dec 25 1991
Proud,"$1,000,000",Sep 23 2005
Pretty Woman,"$14,000,000",Mar 23 1990
Partition,"$10,000,000",Feb 02 2007
The Postman Always Rings Twice,"$12,000,000",Mar 20 1981
Peggy Sue Got Married,"$18,000,000",Oct 10 1986
Peter Pan,"$4,000,000",Feb 05 1953
Pet Sematary,"$11,500,000",Apr 21 1989
Patton,"$12,000,000",Jan 01 1970
The Puffy Chair,"$15,000",Jun 02 2006
Pulp Fiction,"$8,000,000",Oct 14 1994
Paint Your Wagon,"$20,000,000",Oct 15 1969
The Prisoner of Zenda,"$12,500,000",May 25 1979
The Perez Family,"$11,000,000",May 12 1995
Q,"$1,200,000",Nov 19 1982
The Quick and the Dead,"$32,000,000",Feb 10 1995
Quigley Down Under,"$20,000,000",Oct 19 1990
La Guerre du feu,"$12,500,000",Feb 12 1982
Quo Vadis?,"$8,250,000",Feb 23 1951
Rang De Basanti,"$5,300,000",Jan 27 2006
Robin and Marian,"$5,000,000",Mar 11 1976
Ransom,"$70,000,000",Nov 08 1996
Rosemary's Baby,"$3,200,000",Jun 12 1968
Rebecca,"$1,288,000",Dec 31 1939
Robin Hood: Prince of Thieves,"$50,000,000",Jun 14 1991
Rumble in the Bronx,"$7,500,000",Feb 23 1996
Rob Roy,"$28,000,000",Apr 07 1995
Raging Bull,"$18,000,000",Nov 14 1980
Richard III,"$9,200,000",Dec 29 1995
Raising Cain,"$11,000,000",Aug 07 1992
RoboCop,"$13,000,000",Jul 17 1987
RoboCop 3,"$22,000,000",Nov 05 1993
Ri¢hie Ri¢h,"$40,000,000",Dec 21 1994
Radio Days,"$16,000,000",Jan 30 1987
Radio Flyer,"$35,000,000",Feb 21 1992
Reservoir Dogs,"$1,200,000",Oct 23 1992
Raiders of the Lost Ark,"$20,000,000",Jun 12 1981
Red River,"$3,000,000",Dec 31 1947
Reds,"$33,500,000",Dec 04 1981
Le Violon rouge,"$10,000,000",Jun 11 1999
Red Sonja,"$17,900,000",Jun 28 1985
Star Wars Ep. VI: Return of the Jedi,"$32,500,000",May 25 1983
The Return,"$15,000,000",Feb 06 2004
The Rise and Fall of Miss Thang,"$10,000",Aug 14 2008
Roger & Me,"$140,000",Dec 20 1989
The Right Stuff,"$27,000,000",Oct 21 1983
The Rocky Horror Picture Show,"$1,200,000",Sep 26 1975
Road House,"$10,000,000",May 19 1989
Romeo Is Bleeding,"$10,000,000",Feb 04 1994
Rockaway,"$2,000,000",Jul 07 2007
Rocky,"$1,000,000",Nov 21 1976
Return of the Living Dead Part II,"$6,200,000",Jan 15 1988
The R.M.,"$500,000",Jan 31 2003
Renaissance Man,"$40,000,000",Jun 03 1994
Rambo: First Blood Part II,"$44,000,000",May 22 1985
Rambo III,"$58,000,000",May 25 1988
Romeo+Juliet,"$14,500,000",Nov 01 1996
Ramanujan,"$20,000,000",Dec 31 2007
Rain Man,"$25,000,000",Dec 16 1988
Rapa Nui,"$20,000,000",Sep 11 1994
Roar,"$17,000,000",Dec 31 1980
The Robe,"$5,000,000",Sep 16 1953
The Rock,"$75,000,000",Jun 07 1996
The Remains of the Day,"$15,000,000",Nov 05 1993
Airplane!,"$3,500,000",Jul 04 1980
Repo Man,"$1,500,000",Mar 02 1984
Rocket Singh: Salesman of the Year,"$1,070,000",Dec 11 2009
Raise the Titanic,"$40,000,000",Aug 01 1980
Restoration,"$18,000,000",Dec 29 1995
The Return of the Living Dead,"$4,000,000",Aug 16 1985
Rejsen til Saturn,"$2,700,000",Sep 26 2008
Return to the Land of Wonders,"$5,000",Jul 13 2005
Return to Oz,"$27,000,000",Jun 21 1985
The Running Man,"$30,000,000",Nov 13 1987
Run Lola Run,"$1,750,000",Jun 18 1999
Revolution#9,"$350,000",Nov 15 2002
The River Wild,"$45,000,000",Sep 30 1994
Se7en,"$30,000,000",Sep 22 1995
Safe Men,"$1,000,000",Aug 07 1998
Secrets & Lies,"$4,500,000",Sep 28 1996
Sgt. Bilko,"$39,000,000",Mar 29 1996
Sabrina,"$58,000,000",Dec 15 1995
Subway,"$2,000,000",Nov 06 1985
School Daze,"$6,000,000",Feb 12 1988
Scarface,"$25,000,000",Dec 09 1983
Schindler's List,"$25,000,000",Dec 15 1993
A Streetcar Named Desire,"$1,800,000",Sep 18 1951
Shadow Conspiracy,"$45,000,000",Jan 31 1997
Short Cut to Nirvana: Kumbh Mela,"$200,000",Oct 22 2004
Spartacus,"$12,000,000",Oct 07 1960
Sunday,"$450,000",Aug 22 1997
She Done Him Wrong,"$200,000",Feb 09 2033
"Secret, The","$3,500,000",Nov 07 2006
Sea Rex 3D: Journey to a Prehistoric World,"$5,000,000",Dec 31 1969
State Fair,"$4,500,000",Mar 09 1962
Sticky Fingers of Time,"$250,000",Jan 08 1999
Stargate - The Ark of Truth,"$7,000,000",Mar 11 2008
She's Gotta Have It,"$175,000",Aug 08 1986
Stargate,"$55,000,000",Oct 28 1994
The Shadow,"$40,000,000",Jul 01 1994
Show Boat,"$2,300,000",Sep 24 1951
Shadowlands,"$22,000,000",Dec 29 1993
Shanghai Surprise,"$17,000,000",Aug 29 1986
Shalako,"$1,455,000",Dec 31 1967
Sheena,"$25,000,000",Aug 17 1984
Shine,"$5,500,000",Nov 22 1996
The Shining,"$19,000,000",May 23 1980
Haakon Haakonsen,"$8,500,000",Mar 01 1991
Ishtar,"$40,000,000",May 15 1987
Showgirls,"$40,000,000",Sep 22 1995
The Shawshank Redemption,"$25,000,000",Sep 23 1994
Silver Bullet,"$7,000,000",Oct 11 1985
Side Effects,"$200,000",Sep 09 2005
Set It Off,"$9,000,000",Nov 06 1996
The Silence of the Lambs,"$20,000,000",Feb 14 1991
Silver Medalist,"$2,600,000",Feb 29 2008
Silent Trigger,"$15,000,000",Jun 26 1996
Thinner,"$14,000,000",Oct 25 1996
Sling Blade,"$4,833,610",Nov 20 1996
Slacker,"$23,000",Aug 01 1991
Some Like it Hot,"$2,883,848",Mar 29 1959
The Scarlet Letter,"$50,000,000",Oct 13 1995
Silmido,"$8,500,000",Apr 23 2004
Sleeper,"$2,000,000",Dec 17 1973
Sleepers,"$44,000,000",Oct 18 1996
The Slaughter Rule,"$500,000",Jan 10 2003
Solomon and Sheba,"$5,000,000",Jan 01 1959
Sur Le Seuil,"$2,500,000",Oct 03 2003
The Usual Suspects,"$6,000,000",Aug 16 1995
Silverado,"$26,000,000",Jul 10 1985
Salvador,"$4,500,000",Apr 23 1986
"Sex, Lies, and Videotape","$1,200,000",Aug 04 1989
Show Me,"$400,000",Nov 04 2005
Simon,"$1,300,000",Apr 07 2006
Super Mario Bros.,"$42,000,000",May 28 1993
Somewhere in Time,"$5,100,000",Oct 03 1980
Smoke Signals,"$2,000,000",Jun 26 1998
Serial Mom,"$13,000,000",Apr 13 1994
Sommersturm,"$3,000,000",Mar 17 2006
Silent Movie,"$4,400,000",Jun 25 1976
The Santa Clause,"$22,000,000",Nov 11 1994
The Singles Ward,"$500,000",Feb 01 2002
Sense and Sensibility,"$16,500,000",Dec 11 1995
Singin' in the Rain,"$2,540,000",Apr 10 1952
Solitude,"$200,000",Jan 07 2005
The Sound of Music,"$8,200,000",Apr 01 1965
She's the One,"$3,500,000",Aug 23 1996
Straight out of Brooklyn,"$450,000",Dec 31 1990
Spaceballs,"$22,700,000",Jun 24 1987
Speed,"$30,000,000",Jun 10 1994
Species,"$35,000,000",Jul 07 1995
Sphinx,"$10,000,000",Feb 11 1981
Spaced Invaders,"$3,000,000",Apr 27 1990
Spellbound,"$1,500,000",Dec 31 1944
Splash,"$8,000,000",Mar 09 1984
Superman IV: The Quest for Peace,"$17,000,000",Jul 24 1987
Superman II,"$50,000,000",Jun 19 1981
Superman III,"$39,000,000",Jun 17 1983
Sparkler,"$1,000,000",Mar 19 1999
Superman,"$55,000,000",Dec 15 1978
The Specialist,"$45,000,000",Oct 07 1994
The Sorcerer,"$21,600,000",Jun 24 1977
Sisters in Law,"$300,000",Apr 12 2006
Smilla's Sense of Snow,"$35,000,000",Feb 28 1997
Assassins,"$50,000,000",Oct 06 1995
Star Trek: The Motion Picture,"$35,000,000",Dec 07 1979
Star Trek III: The Search for Spock,"$18,000,000",Jun 01 1984
Star Trek IV: The Voyage Home,"$24,000,000",Nov 26 1986
Stand by Me,"$8,000,000",Aug 08 1986
Stone Cold,"$25,000,000",May 17 1991
The Stewardesses,"$200,000",Jul 25 1969
Street Fighter,"$35,000,000",Dec 23 1994
Star Trek II: The Wrath of Khan,"$12,000,000",Jun 04 1982
Steal (Canadian Release),"$15,000,000",Apr 25 2003
The Sting,"$5,500,000",Dec 25 1973
Stonewall,"$2,000,000",Jul 26 1996
Star Trek V: The Final Frontier,"$30,000,000",Jun 09 1989
Star Trek VI: The Undiscovered Country,"$27,000,000",Dec 06 1991
Star Trek: Generations,"$38,000,000",Nov 18 1994
Stripes,"$10,000,000",Jun 26 1981
Striptease,"$50,000,000",Jun 28 1996
Star Wars Ep. IV: A New Hope,"$11,000,000",May 25 1977
Saints and Soldiers,"$780,000",Aug 06 2004
Steppin: The Movie,"$1,000,000",Dec 31 2007
Strangers on a Train,"$1,200,000",Jul 03 1951
Sugar Hill,"$10,000,000",Feb 25 1994
Stiff Upper Lips,"$5,700,000",Aug 27 1999
Shichinin no samurai,"$500,000",Nov 19 1956
Sweet Charity,"$20,000,000",Dec 31 1968
Sands of Iwo Jima,"$1,000,000",Dec 31 1948
The Spy Who Loved Me,"$14,000,000",Jul 13 1977
The Swindle,"$10,000,000",Dec 25 1998
Swingers,"$200,000",Oct 18 1996
Snow White and the Seven Dwarfs,"$1,488,000",Dec 21 2037
The Sweet Hereafter,"$5,000,000",Oct 10 1997
She Wore a Yellow Ribbon,"$1,600,000",Dec 31 1948
Sex with Strangers,"$1,100,000",Feb 22 2002
Spy Hard,"$18,000,000",May 24 1996
Shi Yue Wei Cheng,"$23,000,000",Dec 18 2009
Tango,"$4,500,000",Feb 12 1999
The Age of Innocence,"$34,000,000",Sep 17 1993
Talk Radio,"$4,000,000",Dec 01 1988
The Texas Chainsaw Massacre,"$140,000",Oct 18 1974
The Texas Chainsaw Massacre 2,"$4,700,000",Aug 22 1986
Timecop,"$28,000,000",Sep 16 1994
Tin Cup,"$45,000,000",Aug 16 1996
Torn Curtain,"$3,000,000",Jul 16 1966
To Die For,"$20,000,000",Sep 27 1995
Terror Train,"$3,500,000",Dec 31 1979
Teen Wolf Too,"$3,000,000",Nov 20 1987
The Fan,"$55,000,000",Aug 16 1996
Timber Falls,"$2,600,000",Dec 07 2007
Tae Guik Gi: The Brotherhood of War,"$12,500,000",Sep 03 2004
The Incredibly True Adventure of Two Girls in Love,"$250,000",Jun 16 1995
There Goes My Baby,"$10,500,000",Sep 02 1994
Tank Girl,"$25,000,000",Mar 01 1995
Top Gun,"$15,000,000",May 16 1986
Thunderball,"$9,000,000",Dec 29 1965
The Calling,"$2,500,000",Dec 31 2009
The Craft,"$15,000,000",May 03 1996
It Happened One Night,"$325,000",Dec 31 1933
The Net,"$22,000,000",Jul 28 1995
La otra conquista,"$3,500,000",Apr 19 2000
The Journey,"$500,000",Jul 11 2003
They Live,"$4,000,000",Nov 04 1988
Tales from the Hood,"$6,000,000",May 24 1995
Time Bandits,"$12,000,000",Nov 06 1981
Tombstone,"$25,000,000",Dec 25 1993
Time Changer,"$825,000",Oct 25 2002
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"$25,000,000",Mar 22 1991
Teenage Mutant Ninja Turtles III,"$21,000,000",Mar 19 1993
Tango & Cash,"$55,000,000",Dec 22 1989
Teenage Mutant Ninja Turtles,"$13,500,000",Mar 30 1990
Topaz,"$4,000,000",Dec 19 1969
Taps,"$14,000,000",Dec 09 1981
Trainspotting,"$3,100,000",Jul 19 1996
The Train,"$5,800,000",Mar 07 1965
Troop Beverly Hills,"$18,000,000",Mar 22 1989
Trekkies,"$375,000",May 21 1999
True Lies,"$100,000,000",Jul 15 1994
Terminator 2: Judgment Day,"$100,000,000",Jul 02 1991
Travellers and Magicians,"$1,800,000",Jan 07 2005
The Terminator,"$6,400,000",Oct 26 1984
Tremors,"$10,000,000",Jan 19 1990
True Romance,"$12,500,000",Sep 10 1993
Tron,"$17,000,000",Jul 09 1982
Trapeze,"$4,000,000",Dec 31 1955
The Terrorist,"$25,000",Jan 14 2000
Trois,"$200,000",Feb 11 2000
Things to Do in Denver when You're Dead,"$15,000,000",Dec 01 1995
A Time to Kill,"$40,000,000",Jul 24 1996
Total Recall,"$65,000,000",Jun 01 1990
This Thing of Ours,"$2,000,000",Jul 18 2003
Tootsie,"$15,000,000",Dec 17 1982
That Thing You Do!,"$2,500,000",Oct 04 1996
The Trouble With Harry,"$1,200,000",Oct 03 1955
Twins,"$15,000,000",Dec 09 1988
Twister,"$88,000,000",May 10 1996
Towering Inferno,"$14,000,000",Dec 17 1974
Taxi Driver,"$1,000,000",Feb 08 1976
Tycoon,"$5,000,000",Jun 13 2003
Toy Story,"$30,000,000",Nov 22 1995
Twilight Zone: The Movie,"$10,000,000",Jun 24 1983
Unforgettable,"$18,000,000",Feb 23 1996
UHF,"$5,000,000",Jul 21 1989
Ulee's Gold,"$2,700,000",Jun 13 1997
Under Siege 2: Dark Territory,"$60,000,000",Jul 14 1995
The Untouchables,"$25,000,000",Jun 03 1987
Under the Rainbow,"$20,000,000",Jul 31 1981
Veer-Zaara,"$7,000,000",Nov 12 2004
Videodrome,"$5,952,000",Feb 04 1983
Les Visiteurs,"$7,000,000",Jul 12 1996
"Couloirs du temps: Les visiteurs 2, Les","$20,000,000",Mar 27 1998
The Valley of Decision,"$2,160,000",Dec 31 1944
Vampire in Brooklyn,"$14,000,000",Oct 27 1995
The Verdict,"$16,000,000",Dec 08 1982
Virtuosity,"$30,000,000",Aug 04 1995
Everything Put Together,"$500,000",Nov 02 2001
A View to a Kill,"$30,000,000",May 24 1985
The Work and the Glory: American Zion,"$6,500,000",Oct 21 2005
A Walk on the Moon,"$14,000,000",Mar 26 1999
The Work and the Glory,"$7,500,000",Nov 24 2004
The Work and the Story,"$103,000",Oct 03 2003
What the #$'! Do We Know,"$4,000,000",Feb 06 2004
Waiting for Guffman,"$4,000,000",Jan 31 1997
Who Framed Roger Rabbit?,"$70,000,000",Jun 22 1988
White Fang,"$14,000,000",Jan 18 1991
White Squall,"$38,000,000",Feb 02 1996
What's Eating Gilbert Grape,"$11,000,000",Dec 25 1993
Witchboard,"$2,000,000",Dec 31 1986
The Wiz,"$24,000,000",Oct 24 1978
Walking and Talking,"$1,000,000",Jul 17 1996
The Wild Bunch,"$6,000,000",Jun 18 1969
Wall Street,"$15,000,000",Dec 11 1987
Waterloo,"$25,000,000",Jan 01 1970
The Wrong Man,"$1,200,000",Dec 23 1956
Woman Chaser,"$150,000",Jun 23 2000
Wings,"$2,000,000",Aug 12 2027
We're No Angels,"$20,000,000",Dec 15 1989
Wolf,"$70,000,000",Jun 17 1994
Warriors of Virtue,"$35,000,000",May 02 1997
War Games,"$12,000,000",Jun 03 1983
Warlock,"$7,000,000",Jan 10 1991
War and Peace,"$6,000,000",Dec 31 1955
Warlock: The Armageddon,"$3,000,000",Sep 24 1993
Wasabi,"$15,300,000",Sep 27 2002
West Side Story,"$6,000,000",Oct 18 1961
When The Cat's Away,"$300,000",Sep 20 1996
Welcome to the Dollhouse,"$800,000",May 10 1996
Witness,"$12,000,000",Feb 08 1985
Waterworld,"$175,000,000",Jul 28 1995
Willy Wonka & the Chocolate Factory,"$3,000,000",Jun 30 1971
Wayne's World,"$20,000,000",Feb 14 1992
Wyatt Earp,"$63,000,000",Jun 24 1994
The Wizard of Oz,"$2,777,000",Aug 25 2039
Executive Decision,"$55,000,000",Mar 15 1996
Exodus,"$4,000,000",Jan 01 1960
The Exorcist,"$12,000,000",Dec 26 1973
Extreme Measures,"$38,000,000",Sep 27 1996
You Can't Take It With You,"$1,644,000",Dec 31 1937
Eye for an Eye,"$20,000,000",Jan 12 1996
Young Guns,"$13,000,000",Aug 12 1988
Young Frankenstein,"$2,800,000",Dec 15 1974
Yentl,"$12,000,000",Nov 18 1983
You Only Live Twice,"$9,500,000",Jun 13 1967
Ayurveda: Art of Being,"$300,000",Jul 19 2002
Young Sherlock Holmes,"$18,000,000",Dec 04 1985
102 Dalmatians,"$85,000,000",Nov 22 2000
Ten Things I Hate About You,"$13,000,000",Mar 31 1999
"10,000 B.C.","$105,000,000",Mar 07 2008
10th & Wolf,"$8,000,000",Aug 18 2006
11:14,"$6,000,000",Aug 12 2005
Cloverfield,"$25,000,000",Jan 18 2008
12 Rounds,"$20,000,000",Mar 27 2009
Thirteen Conversations About One Thing,"$3,000,000",May 24 2002
13 Going On 30,"$30,000,000",Apr 23 2004
Thirteen Ghosts,"$19,000,000",Oct 26 2001
1408,"$22,500,000",Jun 22 2007
15 Minutes,"$42,000,000",Mar 09 2001
16 to Life,"$1,000,000",Sep 03 2010
16 Blocks,"$45,000,000",Mar 03 2006
One Man's Hero,"$18,000,000",Sep 24 1999
First Daughter,"$30,000,000",Sep 24 2004
2012,"$200,000,000",Nov 13 2009
2046,"$12,000,000",Aug 05 2005
20 Dates,"$66,000",Feb 26 1999
21,"$35,000,000",Mar 21 2008
21 Grams,"$20,000,000",Nov 21 2003
25th Hour,"$4,500,000",Dec 19 2002
28 Days,"$43,000,000",Apr 14 2000
28 Days Later...,"$15,000,000",Jun 27 2003
28 Weeks Later,"$15,000,000",May 11 2007
Two Brothers,"$72,000,000",Jun 25 2004
Cop Out,"$37,000,000",Feb 26 2010
Two Lovers,"$12,000,000",Feb 13 2009
2 For the Money,"$20,000,000",Oct 07 2005
Secondhand Lions,"$30,000,000",Sep 19 2003
Two Can Play That Game,"$13,000,000",Sep 07 2001
Two Weeks Notice,"$60,000,000",Dec 20 2002
300,"$60,000,000",Mar 09 2007
30 Days of Night,"$30,000,000",Oct 19 2007
Three Kings,"$48,000,000",Oct 01 1999
3000 Miles to Graceland,"$62,000,000",Feb 23 2001
3 Strikes,"$4,000,000",Mar 01 2000
3:10 to Yuma,"$48,000,000",Sep 02 2007
40 Days and 40 Nights,"$17,000,000",Mar 01 2002
The 40 Year-old Virgin,"$26,000,000",Aug 19 2005
Four Brothers,"$30,000,000",Aug 12 2005
Four Christmases,"$80,000,000",Nov 26 2008
The Four Feathers,"$35,000,000",Sep 20 2002
